Type,id,en_description,ur_description
Word, w8, alliance, اتحاد
Word, w9, ambulate/ambulatory, چلنے پھرنے والا
Word, w10, anaemia, خون کی کمی
Word, w11, anaesthetic, بے ہوشی کی دوا
Word, w12, analgesic, درد کم کرنے والی دوا
Word, w13, anaplastic, غیر متفرق
Word, w14, antibiotic, اینٹی بایوٹک
Word, w15, antibody, اینٹی باڈی
Word, w16, anticoagulant, خون پتلا کرنے والی دوا
Word, w17, anti-emetics, متلی روکنے والی دوا
Word, w18, anus, مقعد
Word, w19, apheresis, اپھیریسس
Word, w20, approximately, تقریباً
Word, w21, artery, شریان
Word, w22, aspirate, چوسنا
Word, w23, assess, جانچنا
Word, w24, atrophy, سکڑاؤ
Word, w25, axilla, بغل
Word, w26, barium (used in x-ray), ایکس رے کے لیے بیریم
Word, w27, benign, غیر مہلک
Word, w28, bilateral, دو طرفہ
Word, w29, biopsy, حیاتیاتی نمونہ
Word, w30, bladder, مثانہ
Word, w31, bone marrow, ہڈی کا گودا
Word, w32, bowel, آنت
Word, w33, brachytherapy,اندرونی تابکاری علاج 
Word, w34, breakthrough, نمایاں پیش رفت
Word, w35, bronchoscopy, سانس کی نالی کا معائنہ
Word, w36, cancer,سرطان
Word, w37, cannula, نلی
Word, w38, carcinogen, سرطان پیدا کرنے والا مادہ
Word, w39, carcinoma, سرطانی رسولی
Word, w40, catheter, نالی
Word, w41, cells, خلیات
Word, w42, chronic, دائمی
Word, w43, colectomy, بڑی آنت کی جراحی سے نکالی جانا
Word, w44, colon, بڑی آنت
Word, w45, colonoscopy, بڑی آنت کا معائنہ
Word, w46, colorectal, کولوریکٹل
Word, w47, colostomy, کولوسٹومی
Word, w48, colposcopy, کولپوسکوپی
Word, w49, communication, مواصلات
Word, w50, contrast (liquid), کنٹراسٹ مائع
Word, w51, cure, علاج
Word, w52, cystoscopy, سسٹوسکوپی
Word, w53, cytotoxic, سائٹوٹوکسک
Word, w54, cytotoxic (a person),خلیوں کو نقصان پہنچانے والا شخص 
Word, w55, diagnosis, تشخیص
Word, w56, dialysis, ڈائلیسس
Word, w57, diarrhoea, اسہال
Word, w58, dietitian (also called a ‘nutritionist’), غذائی ماہر
Word, w59, discharge, اخراج
Word, w60, dose, خوراک
Word, w61, DRE, ڈی آر ای
Word, w62, dysfunction, فعل کی خرابی
Word, w63, dysplasia, غیر معمولی نشوونما
Word, w64, eGFR, ای جی ایف آر
Word, w65, embolism, خون کا لوتھڑا
Word, w66, endoscope, اینڈوسکوپ
Word, w67, endoscopy, اینڈوسکوپی
Word, w68, epidural, ایپیڈیورل
Word, w69, excision, کاٹنا
Word, w70, faeces, فضلہ
Word, w71, fast or fasted, روزہ یا روزہ رکھا ہوا
Word, w72, febrile, بخار والا
Word, w73, flap, فلیپ
Word, w74, gastroscopy, گیسٹروسکوپی
Word, w75, groin, کمر کے نیچے کا حصہ
Word, w76, gynaecology, امراض نسواں
Word, w77, haematology,علم خون
Word, w78, haematuria,پیشاب میں خون آنا 
Word, w79, hormone,جسمانی مادہ
Word, w80, hypertension, ہائی بلڈ پریشر
Word, w81, hypotension, کم بلڈ پریشر
Word, w82, hysterectomy, بچہ دانی کا آپریشن
Word, w83, ileostomy, ایلیوسٹومی
Word, w84, ileus, آنتوں کی بندش
Word, w85, incontinence, بے اختیاری
Word, w86, infection, انفیکشن
Word, w87, infusion, مائع کی بوتل
Word, w88, intestines (digestive), آنتیں (ہاضمے کی)
Word, w89, intramuscular, عضلاتی
Word, w90, intravenous, اندرونی وریدی
Word, w91, isotope, آئسوٹوپ
Word, w92, kidney, گردہ
Word, w93, laparoscopy, لیپروسکوپی
Word, w94, leukopenia, لیوکوپینیا
Word, w95, localised, مقامی
Word, w96, lymph, لمف
Word, w97, lymphoedema, لمف اوڈیما
Word, w98, lymphoma, لمفوما
Word, w99, malignant, مہلک
Word, w100, mammogram, میموگرام
Word,w101,mass,گانٹھ / مجموعہ
Word,w102,mastectomy,چھاتی نکالنے کا عمل
Word,w103,MDT,کثیر الشعبہ جاتی ٹیم
Word,w104,melanoma,جلد کا ایک مہلک سرطان
Word,w105,MePOA,دماغ کا ایک خاص حصہ
Word,w106,metastasis,سرطان کا جسم میں پھیلاؤ
Word,w107,metastasize,سرطان کا دوسرے اعضا میں پھیلنا
Word,w108,mets,میٹاسٹیسیس (سرطان کے پھیلاؤ کی مختصر اصطلاح)
Word,w109,monitor,نگرانی
Word,w110,MRI,مقناطیسی گونج امیجنگ
Word,w111,MRSA,اینٹی بایوٹک مزاحم بیکٹیریا
Word,w112,nadir,سب سے نچلا نقطہ / کمزور ترین حالت
Word,w113,nauseous,متلی محسوس کرنا
Word,w114,nebs,نیبولائزر کے ذریعے سانس کی دوائی دینا
Word,w115,nebuliser,سانس کی دوائی پہنچانے والا آلہ
Word,w116,necrotic,مردہ
Word,w117,neutropenia,نیوٹروفلز کی کمی
Word,w118,neutropenic,نیوٹروفلز کی کمی کا شکار
Word,w119,neutrophils,سفید خون کے خلیے جو انفیکشن سے لڑتے ہیں
Word,w120,NGT,ناک کے ذریعے معدے میں ڈالنے والی نالی
Word,w121,node,گانٹھ / لمفی غدود
Word,w122,NOK,قریبی رشتہ دار
Word,w123,nuke,تابکاری علاج / نیوکلئیر علاج
Word,w124,nukes,تابکاری علاج کے طریقے
Word,w125,NUM,نمبر / گنتی
Word,w126,nutrition,غذائیت
Word,w127,obs,معائنہ / مشاہدہ
Word,w128,observations,مشاہدات
Word,w129,oedema,سوجن / ورم
Word,w130,oncologist,سرطان کا ماہر
Word,w131,oncology,سرطان کی تشخیص و علاج کا شعبہ
Word,w132,opioids,درد کم کرنے والی ادویات
Word,w133,paediatrics,بچوں کا طب
Word,w134,pathologist,امراض کی تشخیص کا ماہر
Word,w135,pathology,امراض کی تشخیص کا علم
Word,w136,PCA,مریض کے قابو میں درد کی دوا
Word,w137,psychiatrist,ذہنی امراض کا ڈاکٹر
Word,w138,psycho-oncology,سرطان سے متعلق ذہنی صحت کا شعبہ
Word,w139,radiography,ایکس رے اور اسکین کا طریقہ
Word,w140,rebore,دوبارہ کھولنے کا عمل
Word,w141,rectum,مقعد
Word,w142,recurrence,بیماری کا دوبارہ ظاہر ہونا
Word,w143,referral,کسی ماہر ڈاکٹر کے پاس بھیجنا
Word,w144,relapse,بیماری کا لوٹ آنا
Word,w145,remission,بیماری کا عارضی خاتمہ
Word,w146,resection,کسی عضو کا جراحی سے نکالنا
Word,w147,risk,خطرہ
Word,w148,sarcoma,نرم بافتوں یا ہڈیوں کا سرطان
Word,w149,sats,آکسیجن کی سطح
Word,w150,saturation,آکسیجن کی مقدار کا تناسب
Word,w151,screening,بیماری کی تشخیص کے لیے جانچ
Word,w152,sedation,بیہوشی / بےحسی
Word,w153,sedative,بیہوش کرنے والی دوا
Word,w154,side-effect,دوائی کے مضر اثرات
Word,w155,sim,نقل / مشابہت
Word,w156,specimen,نمونہ
Word,w157,sputum,بلغم
Word,w158,staging,سٹیجنگ   
Word,w159,stoma,مصنوعی راستہ (جراحی کے بعد)
Word,w160,stools,پاخانہ
Word,w161,subcutaneous,جلد کے نیچے کا حصہ
Word,w162,surgery,آپریشن / جراحی
Word,w163,survivorship,بیماری کے بعد کی زندگی
Word,w164,sutures,زخم کے ٹانکے
Word,w165,tissue,بافت / ٹشو
Word,w166,TNM,سرطان کی تشخیص کا ایک نظام
Word,w167,trachea,سانس کی نالی
Word,w168,TRUS,ٹرانسریکٹل الٹراساؤنڈ
Word,w169,tumour,رسولی
Word,w170,tumour markers,سرطان کی نشاندہی کرنے والے مادے
Word,w171,TURP,پروسٹیٹ کا جزوی جراحی سے نکالنا
Word,w172,ultrasound,الٹراساؤنڈ
Word,w173,urethra,پیشاب کی نالی
Word,w174,urology,پیشاب کے نظام کا علم
Word,w175,uro-oncology,پیشاب کے نظام سے متعلق سرطان کا علم
Word,w176,VATS,ویڈیو اسسٹڈ تھوراسک سرجری
Word,w177,vein,رگ
Word,w178,venepuncture,رگ میں سوئی ڈالنے کا عمل
Word,w179,vessel,رگ / خون لے جانے والی نالی
Word,w180,void,پیشاب کرنا / خالی کرنا
Word,w181,voided,خالی کیا گیا / پیشاب خارج کرنا
Word,w182,VRE,وینکوماسین مزاحم بیکٹیریا
Word,w183,x-ray,ایکس رے
