type,id,en_description,fi_description
Word,w8,South America,Etelä-Amerikka
Word,w14,Special Populations,erityisväestöt
Word,w13,Stage III,vaihe III
Word,w18,Stage IV,vaihe IV
Word,w14,Stage Information,vaihetieto 
Word,w6,Stage explanation--legacy,vaiheselitys--perintö
Word,w26,Stage explanation--legacy,vaiheselitys--perintö
Word,w10,Stage explanation--legacy,vaiheselitys--perintö
Word,w31,Stage explanation--legacy,vaiheselitys--perintö
Word,w48,Staging Evaluation,vaiheistusarviointi
Word,w15,Staging Systems,vaiheistusjärjestelmät
Word,w7,Standard treatment,vakiohoito
Word,w21,Study Design,tutkimussuunnitelma
Word,w8,Surgery alone,leikkaus yksin
Word,w19,Surgical Approaches,kirurgiset lähestymistavat
Word,w7,Surgical Resection,kirurginen poistoleikkaus
Word,w28,Surgical evaluation,kirurginen arviointi
Word,w31,Surgical margins,kirurgiset reunat
Word,w1,Surveillance,valvonta
Word,w1,Survival,selviytyminen
Word,w17,Sweden,Ruotsi
Word,w5,Systemic Chemotherapy,systeeminen kemoterapia
Word,w48,Systemic Therapy,systeeminen hoito
Word,w23,Systemic disease,systeeminen sairaus
Word,w21,T3 invasion,T3-invaasio                              
Word,w37,T4 (extension),hyvin laajalle levinnyt kasvain (laajentaminen)                        
Word,w13,T4 disease,T4-sairaus                               
Word,w28,Testing Interval,testausväli
Word,w6,Thermography,lämmönvaihtelututkimus
Word,w24,Third-line chemotherapy,kolmilinjainen kemoterapia
Word,w4,Topotecan,topotekaani       
Word,w10,Transarterial chemoembolization,kasvaimen kemoembolisaatio                   
Word,w18,Trastuzumab,trastutsumabi      
Word,w15,Treatment Options,hoitovaihtoehdot
Word,w22,Treatment Toxicity,hoidon myrkyllisyys
Word,w22,Treatment-related factors,hoitoon liittyvät tekijät
Word,w3,Treatments,hoidot
Word,w9,Tubular,putkimainen
Word,w15,Tubulovillous,putkimainen
Word,w23,Tumor Characteristics,​kasvaimen ominaisuudet
Word,w3,Tumor Location,kasvaimen sijainti
Word,w23,Tumor Location,kasvaimen sijainti
Word,w30,Tumor size,kasvaimen koko
Word,w26,Typical carcinoid,tyypillinen syöpä
Word,w5,Tyrosinemia,perinnöllinen aineenvaihduntahäiriö
Word,w11,Ultrasonography,​ultraäänitutkimus
Word,w35,Unclassified carcinoma,luokittelematon syöpä
Word,w24,Undifferentiated carcinoma,erilaistumaton syöpä
Word,w24,United Kingdom,Yhdistynyt kuningaskunta
Word,w15,United States,Yhdysvallat
Word,w10,Unknown,tuntematon
Word,w20,Unrehydrated: 1.0%,kuivunut：1.0%
Word,w31,Unrehydrated: 1.9%,kuivunut：1.9%
Word,w26,Unrehydrated: 2.1%,kuivunut：2.1%
Word,w29,Unrehydrated: 2.4%,kuivunut：2.4%
Word,w39,Unresectable disease,leikkauskelvoton sairaus
Word,w6,Unusual,epänormaali
Word,w7,"Upper, middle","ylempi, keski"
Word,w20,Uterine cancer,kohdun syöpä
Word,w6,VTE,laskimotromboembolia    
Word,w9,Variants,muunnokset
Word,w42,Vascular invasion,verisuonen invaasio
Word,w12,Vascular involvement,verisuonen osallistuminen
Word,w15,Vasomotor symptoms,verisuoniston oireet
Word,w7,Villous,limakalvon uloke
Word,w4,Vitamins,vitamiinit
Word,w8,Weakness,heikkous
Word,w21,Weight gain,painonnousu
Word,w18,Weight loss,​painonpudotus
Word,w10,Western Africa,Länsi-Afrikka
Word,w24,Young women,nuoret naiset
Word,w8,cancer prevention,syövän ehkäisy
Word,w32,childhood hepatoblastoma,lapsuuden maksakasvain
Word,w11,colon cancer,paksusuolen syöpä
Word,w13,drinking water,juomavesi
Word,w19,extensive-stage SCLC,laaja-alainen pienisoluinen keuhkosyöpä   
Word,w43,grade 1,aste 1
Word,w49,grade 1–2,aste 1-2
Word,w55,grade 2–3,aste 2-3
Word,w13,limited-stage SCLC,rajoitetun vaiheen pienisoluinen keuhkosyöpä   
Word,w26,mTOR Inhibitors,mTOR-estäjät                              
Word,w53,metastatic cancer,etäpesäkesyöpä
Word,w4,negative,kielteinen
Word,w30,occult NSCLC,selittämätön ei-pienisoluinen keuhkosyöpä   
Word,w12,positive,myönteinen
Word,w16,rectal cancer,peräsuolen syöpä
Word,w36,recurrent NSCLC,uusiutuva ei-pienisoluinen keuhkosyöpä   
Phrase,p1,Rofecoxib 25 mg/qd,rofekoksibi 25 mg/qd                         
Phrase,p2,Chemoprevention sporadic adenoma,satunnaisen rauhasperäisen kasvaimen kemoehkäisy
Phrase,p3,Nonsteroidal anti-inflammatory drugs,ei-steroidiset tulehduslääkkeet
Phrase,p4,Definition of prevention,ehkäisyn määritelmä
Phrase,p5,Use of statins,statiinien käyttö
Phrase,p6,External Validity: N/A,ulkoinen oikeellisuus: ei käytettävissä oleva   
Phrase,p7,Excessive alcohol use,liiallinen alkoholin käyttö
Phrase,p8,Risk increases with age,riski kasvaa iän myötä
Phrase,p9,Naproxen seemed least harmful,naprokseeni vaikutti vähiten haitalliselta
Phrase,p10,Study Design: Cohort studies,tutkimussuunnitelma：kohorttitutkimukset
Phrase,p11,Postmenopausal female hormone supplements,vaihdevuosien jälkeiset naishormonilisät
Phrase,p12,RCTs have been consistent,satunnaistetut kontrolloidut tutkimukset ovat olleet johdonmukaiset                           
Phrase,p13,Colorectal Cancer (PDQ®): Prevention,paksusuolen ja peräsuolen syöpä (PDQ®): ehkäisy​
Phrase,p14,Who is at Risk,kuka on vaarassa
Phrase,p15,Study Design: Evidence from RCTs,tutkimussuunnitelma：todiste satunnaistetuista kontrolloiduista tutkimuksista
Phrase,p16,Hormone therapy (estrogen plus progestin),hormonihoito（estrogeeni sekä keltarauhashormoni）
Phrase,p17,Internal Validity: Not applicable (N/A),sisäinen oikeellisuus：ei sovellettavissa oleva (ei käytettävissä oleva)        
Phrase,p18,Nested case-control study all users,sisäkkäinen ​tapauskontrolloitu tutkimus kaikille käyttäjille
Phrase,p19,"Dietary fiber, vegetables, and fruit","ruokavaliokuitu, vihannekset ja hedelmät"
Phrase,p20,Study Design: Cohort and RCTs,tutkimussuunnitelma: kohortti ja satunnaistetut kontrolloidut tutkimukset
Phrase,p21,Dietary fat and meat intake,ruokavalion rasvan ja lihan saanti 
Phrase,p22,Validity of dietary questionnaires used,käytettyjen ruokavaliokyselyiden oikeellisuus
Phrase,p23,Study Design: Large cohort studies,tutkimussuunnitelma：suuret kohorttitutkimukset
Phrase,p24,Study Design: Meta-analyses of RCTs,tutkimussuunnitelma：satunnaistettujen kontrolloitujen tutkimusten meta-analyysit   
Phrase,p25,Study Design: One-hundred six observational studies,tutkimussuunnitelma：satakuusi havainnoivaa tutkimusta
Phrase,p26,Etiology and pathogenesis of colorectal cancer,paksusuolen ja peräsuolen syövän alkuperä ja sairauden kehityksen kulku
Phrase,p27,Study Design: Cohort studies and meta-analysis,tutkimussuunnitelma：kohorttitutkimukset ja meta-analyysi
Phrase,p28,Study Design: One randomized controlled trial,tutkimussuunnitelma：yksi satunnaistettu kontrolloitu koe
Phrase,p29,Rofecoxib <25 mg/qd; rofecoxib >25 mg/qd,rofekoksibi <25 mg/qd; rofekoksibi ＞25 mg/qd      
Phrase,p30,"Sporadic adenoma prevention trial (N = 2,035)","satunnaisen rauhasperäisen kasvaimen ennaltaehkäisevä koe (N = 2,035)"
Phrase,p31,Study Design: Evidence obtained from large databases,tutkimussuunnitelma: todiste saatu suurista tietokannoista
Phrase,p32,The overall 5-year survival rate is 64%,koko 5 vuoden eloonjäämisaste on 64%
Phrase,p33,Study Design: Evidence from retrospective cohort studies,tutkimussuunnitelma: todiste retrospektiivisistä kohorttitutkimuksista
Phrase,p34,Celecoxib 200 mg/qd vs 400 mg bid,selekoksibi 200 mg/qd vastaan 400 mg kahdesti päivässä    
Phrase,p35,"External Validity: Good, data from national databases","ulkoinen oikeellisuus：hyvä，tieto kansallisista tietokannoista"
Phrase,p36,Study Design: Extended follow-up of four RCTs,tutkimussuunnitelma：neljän satunnaistetun kontrolloidun tutkimuksen laajennettu seuranta    
Phrase,p37,The analysis did not include fiber supplements,analyysi ei sisältänyt kuitulisiä
Phrase,p1,Arm B: fluoropyrimidine/oxaliplatin/cetuximab,hoitoryhmä B：fluoripyrimidiini/oksaliplatiini/setuksimabi
Phrase,p2,Endocavitary radiation therapy,keho-ontelon sädehoito
Phrase,p3,Definitions of TNM,TNM:n määritelmät                        
Phrase,p4,Gastrointestinal stromal tumor,ruoansulatuskanavan kudoskasvain
Phrase,p5,Arm A: fluoropyrimidine/oxaliplatin,hoitoryhmä A：fluoripyrimidiini/oksaliplatiini
Phrase,p6,Incidence and Mortality,ilmaantuvuus ja kuolleisuus
Phrase,p7,Local radiation therapy,paikallinen sädehoito
Phrase,p8,Mantle cell lymphoma,solujen imukudossyöpä
Phrase,p9,Preoperative Chemoradiation Therapy,leikkausta edeltävä kemosäteilytyshoito
Phrase,p10,recurrent rectal cancer,uusiutuva peräsuolen syöpä
Phrase,p11,Burkitt-like/atypical Burkitt lymphoma,Burkittin kaltainen/epätyypillinen Burkittin imukudossyöpä
Phrase,p12,Metastatic Rectal Cancer,etäpesäkkeinen peräsuolen syöpä
Phrase,p13,Change in appetite,ruokahalun muutos
Phrase,p14,Genetic risk factors,​perinnölliset riskitekijät
Phrase,p15,First-line multiagent chemotherapy,ensilinjainen moniainekemoterapia
Phrase,p16,A clinical trial,kliininen koe
Phrase,p17,Prone patient positioning,potilaan makuuasento
Phrase,p18,Palliative radiation,palliatiivinen säteilytys
Phrase,p19,Signet-ring cell carcinoma,ruoansulatuselimen solusyöpä
Phrase,p20,Other risk factors,​muut riskitekijät
Phrase,p21,Rectal Cancer (PDQ®): Treatment,peräsuolen syöpä (PDQ®): hoito
Phrase,p22,stage III rectal cancer,vaiheen III peräsuolen syöpä
Phrase,p23,stage I rectal cancer,vaiheen I peräsuolen syöpä
Phrase,p24,Hereditary mixed polyposis syndrome,perinnöllinen sekamuotoinen polyyppi-oireyhtymä
Phrase,p25,Stage II Rectal Cancer,vaiheen II peräsuolen syöpä
Phrase,p26,Clinical Presentation and Symptoms,kliininen esittely ja oireet
Phrase,p27,Capecitabine with radiation therapy,kapesitabiini sädehoidon kanssa
Phrase,p28,Systemic chemotherapy (see below),systeeminen kemoterapia（ks. alla）
Phrase,p29,Locally Recurrent Rectal Cancer,paikallisesti uusiutuva peräsuolen syöpä
Phrase,p30,Stage I Rectal Cancer,vaiheen I peräsuolen syöpä
Phrase,p31,Change in bowel habits,​muutos suolistotottumuksissa
Phrase,p32,Clinical Evaluation and Staging,kliininen arviointi ja vaiheistus
Phrase,p33,Arm C: intermittent fluoropyrimidine/oxaliplatin,hoitoryhmä C：jaksottainen fluoripyrimidiini/oksaliplatiini
Phrase,p34,Cowden syndrome: PTEN gene,Cowden-oireyhtymä：PTEN-geeni  
Phrase,p35,stage IV rectal cancer,vaiheen IV peräsuolen syöpä
Phrase,p36,Low-grade glandular intraepithelial neoplasia,matala-asteinen kudoskerroksen sisäisten kudosten epänormaali kasvu kehossa
Phrase,p37,Cetuximab/Panitumumab and Second-Line Chemotherapy,setuksimabi/panitumumabi ja toislinjainen kemoterapia 
Phrase,p38,Table 1. Primary Tumor,taulu 1. ensisijainen kasvain
