type,id,en_description,ur_description
Word,w7,Hepatitis A,جگر کی سوزش اے
Word,w9,Hepatitis B,جگر کی سوزش بی
Word,w12,Hepatitis C,جگر کی سوزش سی
Word,w18,Hepatitis D,جگر کی سوزش ڈی
Word,w6,Hepatitis E,جگر کی سوزش ای
Word,w11,Hepatitis F,جگر کی سوزش ایف
Word,w5,Hepatitis G,جگر کی سوزش جی
Word,w4,Hepatoblastoma,ہیپاٹوبلاسٹوما  
Word,w7,Hepatocellular Carcinoma,ہیپاٹوسیلولر کارسینوما  
Word,w19,High Risk,اعلیٰ خطرہ  
Word,w5,High-grade dysplasia,اعلیٰ درجے کی ڈسپلازیہ  
Word,w11,Histology,ہسٹالوجی (نسیجیات)  
Word,w15,Hoarseness,آواز کا بیٹھ جانا  
Word,w3,Hoarseness,آواز کا بیٹھ جانا  
Word,w19,Hyperplasia,ہائپرپلازیہ  
Word,w52,IB NSCLC,آئی بی این ایس سی ایل سی  
Word,w55,IIB NSCLC,آئی آئی بی این ایس سی ایل سی  
Word,w12,Ill-defined borders,غیر واضح حدود  
Word,w16,Illustration,تشریحی خاکہ  
Word,w7,Illustration,تشریحی خاکہ  
Word,w30,Immunochemical FOBT,امونوکیمیکل ایف او بی ٹی  
Word,w2,Indication,اشارہ  
Word,w51,Inflammatory carcinoma,انفلامیٹری کارسینوما  
Word,w31,Intermediate Risk,درمیانہ خطرہ  
Word,w19,Internal Validity,داخلی توثیق  
Word,w22,International Comparisons,بین الاقوامی موازنہ  
Word,w18,Interval cancers,انٹرول سرطان  
Word,w1,Intestinal,آنتوں کا  
Word,w5,Intestinal metaplasia,آنتوں کی میٹاپلازیا  
Word,w27,Intestinal obstruction,آنتوں کی رکاوٹ  
Word,w21,Intra-arterial chemotherapy,انٹرا آرٹیریل کیمیائیعلاج  
Word,w5,Introduction,تعارف  
Word,w25,Ionizing radiation,آیونائزنگ تابکاری  
Word,w8,Irinotecan,آئرینوٹیکن  
Word,w17,Kaposi sarcoma,کاپوسی سارکوما  
Word,w10,LCNEC,ایل سی این ای سی  
Word,w9,Lapatinib,لیپٹینب  
Word,w12,Leg cramps,ٹانگ میں اینٹھن  
Word,w6,Leiomyoma,لیومیوما  
Word,w10,Leiomyosarcoma,لیومیوسارکوما  
Word,w27,Limited-Stage Disease,محدود مرحلے کی بیماری  
Word,w1,Lipoma,لیپوما  
Word,w8,Liver Transplantation,جگر کی پیوند کاری  
Word,w9,Liver biopsy,جگر کی بائیوپسی  
Word,w29,Liver metastases,جگر کی میٹاسٹیسیز  
Word,w24,Lobular histology,لوبیولر ہسٹالوجی  
Word,w22,Local ablation,مقامی ایبلشن  
Word,w36,Local-regional treatment,مقامی-علاقائی علاج  
Word,w39,Low Risk,کم خطرہ  
Word,w25,Low-birth-weight infants,کم پیدائشی وزن کے نوزائیدہ  
Word,w10,"Lower, X","نیچے والا، ایکس"  
Word,w41,Luminal A,لومینل اے  
Word,w40,Luminal B,لومینل بی  
Word,w22,Lymph nodes,لمف نوڈس  
Word,w10,Lymphedema,لمفیڈیما  
Word,w23,Lymphoepithelioma-like carcinoma,لمفوایپی تھیلیوما لائیک کارسینوما  
Word,w32,Lymphovascular invasion,لمفوواسکولر حملہ  
Word,w49,M1 (distant),ایم 1 (دور)  
Word,w4,Male gender,مرد جنس  
Word,w3,Mediterranean,میڈیٹرینین  
Word,w21,Medullary carcinoma,میڈولری کارسینوما  
Word,w2,Melanoma,میلانوما  
Word,w21,Melanoma Treatment,میلانوما کا علاج  
Word,w3,Men,مرد  
Word,w13,Metaplasia,میٹاپلازیا  
Word,w1,Micrometastases,مائیکرو میٹاسٹیسیز  
Word,w9,Minnesota,منیسوٹا  
Word,w20,Molecular Features,مالیکیولر خصوصیات  
Word,w44,Monoclonal antibodies,مونوکلونل اینٹی باڈیز  
Word,w2,Mucinous,میوسینس  
Word,w19,Mucinous adenocarcinoma,میوسینس ایڈینوکارسینوما  
Word,w41,Mucinous cystadenocarcinoma,میوسینس سسٹ ایڈینوکارسینوما  
Word,w62,Mucoepidermoid carcinoma,میوکوایپیڈرموئڈ کارسینوما  
Word,w14,Musculoskeletal problems,عضلاتی و ہڈیوں کے مسائل  
Word,w28,M—Distant metastatic,ایم—دور میٹاسٹیٹک  
Word,w59,Neoadjuvant therapy,نیوایڈجوینٹ علاج  
Word,w33,Neuroendocrine tumors,نیوروانڈوکرائن رسولیاں  
Word,w16,Neurologic sequelae,اعصابی نتائج  
Word,w32,No effect,کوئی اثر نہیں  
Word,w33,No metastases,کوئی میٹاسٹیسیز نہیں  
Word,w25,Nonepithelial Tumors,نانایپی تھیلیئل رسولیاں  
Word,w3,Nonmucinous,نانمیوسینس  
Word,w47,Nonsquamous histology,نانسکوامس ہسٹالوجی  
Word,w17,Normal,عام  
Word,w17,Northern Europe,شمالی یورپ  
Word,w38,Occult NSCLC,پوشیدہ این ایس سی ایل سی  
Word,w60,Occult carcinoma,پوشیدہ کارسینوما  
Word,w18,Oral contraceptives,زبانی مانع حمل ادویات  
Word,w2,Orchiectomy,اورکیکٹومی (خصیے کی سرجری)  
Word,w6,Other regimens,دیگر علاج کے طریقے  
Word,w1,Overdiagnosis,ضرورت سے زیادہ تشخیص  
Word,w10,Overdiagnosis,ضرورت سے زیادہ تشخیص  
Word,w2,Overview,جائزہ  
Word,w3,Oxaliplatin,آکسیلی پلاٹینم  
Word,w4,Oxaliplatin,آکسیلی پلاٹینم  
Word,w8,PRETEXT designations,پری ٹیکسٹ تقسیم  
Word,w11,PRETEXT stage,پری ٹیکسٹ مرحلہ  
Word,w5,Paclitaxel,پاکلیٹیکسل  
Word,w22,Paclitaxel/Docetaxel (mg/m²),پاکلیٹیکسل/ڈوکیٹیکسل (ملی گرام/مربع میٹر)  
Word,w28,Palliative chemoradiation,تسکینی  کیمیائی ریڈی ایشن  
Word,w20,Palliative chemotherapy,تسکینی  کیمیائی علاج  
Word,w31,Palliative chemotherapy,تسکینی  کیمیائی علاج  
Word,w10,Palliative therapy,تسکینی علاج  
Word,w52,Palpable tumors,محسوس ہونے والے رسولیاں  
Word,w5,Panitumumab,پینیٹوموماب  
Word,w11,Panitumumab,پینیٹوموماب  
Word,w17,Papillary,حُلیمی  
Word,w18,Pathologic Classification,مرضیاتی درجہ بندی  
Word,w5,Pathology,مرضیاتی   
Word,w25,Patient Characteristics,مریض کی خصوصیات  
Word,w50,Patient Evaluation,مریض کا جائزہ  
Word,w45,Patient Group,مریضوں کا گروپ  
Word,w21,Performance status,کارکردگی کی حالت  
Word,w7,Perioperative chemotherapy,گرد عملی جراحی  کیمیائی علاج   
Word,w11,Pernicious anemia,مہلک خون کی کمی   
Word,w11,Pertuzumab,پرٹوزوماب  
Word,w37,Phyllodes tumor,پتوں نما رسولی  
Word,w9,Physical activity,جسمانی سرگرمی  
Word,w5,Physical activity,جسمانی سرگرمی  
Word,w26,Physician Characteristics,ڈاکٹر کی خصوصیات  
Word,w14,Polyp removal,پولپ کا خاتمہ  
Word,w6,Poor,خراب  
Word,w18,Population Size,آبادی کی تعداد
Word,w7,Population-level interventions,آبادی کی سطح پر مداخلت
Word,w6,Postmastectomy,ماسٹیکٹومی کے بعد  
Word,w8,Postoperative chemotherapy,آپریشن کے بعد کی  کیمیائی علاج  
Word,w34,Postsurgical chemotherapy,سرجری کے بعد کی  کیمیائی علاج  
Word,w38,Posttreatment ypN,علاج کے بعد وائی پی این  
Word,w21,Presurgical chemotherapy,سرجری سے پہلے کی  کیمیائی علاج  
Word,w25,Primary Therapy,بنیادی علاج  
Word,w34,Primary lymphoma,بنیادی لیمفوما  
Word,w28,Primary therapy,بنیادی علاج  
Word,w1,Progesterone,پروجیسٹرون  
Word,w1,Prognosis,پیش گوئی  
Word,w2,Prognosis--legacy,پیش گوئی (پرانا)  
Word,w4,Prognosis:,پیش گوئی:  
Word,w24,Prophylactic mastectomy,احتیاطی ماسٹیکٹومی  
Word,w11,Prophylactic oophorectomy,احتیاطی اووفوریکٹومی  
Word,w54,Pulmonary blastoma,پلمونری بلاسٹوما  
Word,w4,RCTs,آر سی ٹیز (رینڈمائزڈ کنٹرول تجربہ)  
Word,w2,Race,نسل  
Word,w20,Radiation Exposure,تابکاری کا ایکسپوژر  
Word,w9,Radical surgery,ریڈیکل سرجری  
Word,w6,Radiosensitizers,ریڈیوسینسٹائزرز  
Word,w1,Radon,ریڈون  
Word,w3,Radon exposure,ریڈون کا ایکسپوژر  
Word,w7,Raloxifene,رالوکسفین  
Word,w9,Recurrent Hepatoblastoma,بار بار ہونے والا ہیپاٹوبلاسٹوما  
Word,w29,Recurrent NSCLC,بار بار ہونے والا این ایس سی ایل سی  
Word,w9,Recurrent disease,بار بار ہونے والی بیماری  
Word,w16,Regimen,طریقہ علاج  
Word,w4,Region,علاقہ  
Word,w34,Rehydrated: 5.8%,ری ہائیڈریٹڈ: 5.8%  
Word,w33,Rehydrated: 9.8%,ری ہائیڈریٹڈ: 9.8%  
Word,w34,Resection margins,ریسکشن مارجنز  
Word,w3,Risk,خطرہ  
Word,w22,Scant cytoplasm,کم سائٹوپلازم  
Word,w23,Scirrhous tumors,سکررس رسولیاں  
Word,w12,Screened,اسکرین شدہ  
Word,w23,Screening Intervention,اسکریننگ مداخلت  
Word,w18,Second-line chemotherapy,دوسری سطر کی  کیمیائی علاج  
Word,w5,Sensitivity,حساسیت  
Word,w14,Serrated,دندانے دار  
Word,w2,Serum pepsinogen,سیرم پپسینوجن  
Word,w7,Sigmoidoscopy,سگموئیڈوسکوپی  
Word,w3,Site,مقام  
Word,w25,Small cell,چھوٹی خلیہ   
Word,w4,Smoking avoidance,تمباکو نوشی سے پرہیز
Word,w8,South America,جنوبی امریکہ
Word,w14,Special Populations,مخصوص آبادی
Word,w13,Stage III,III مرحلہ 
Word,w18,Stage IV,IV مرحلہ
Word,w14,Stage Information,مرحلہ کی معلومات
Word,w6,Stage explanation--legacy,مرحلے کی وضاحت (پرانا)  
Word,w26,Stage explanation--legacy,مرحلے کی وضاحت (پرانا)  
Word,w10,Stage explanation--legacy,مرحلے کی وضاحت (پرانا)  
Word,w31,Stage explanation--legacy,مرحلے کی وضاحت (پرانا)  
Word,w48,Staging Evaluation,مرحلے کی تشخیص  
Word,w15,Staging Systems,مرحلے کے نظام  
Word,w7,Standard treatment,معیاری علاج  
Word,w21,Study Design,مطالعہ کا ڈیزائن  
Word,w8,Surgery alone,سرجری اکیلے  
Word,w19,Surgical Approaches,سرجیکل طریقے  
Word,w7,Surgical Resection,سرجیکل ریسکشن  
Word,w28,Surgical evaluation,سرجری کا جائزہ  
Word,w31,Surgical margins,سرجیکل مارجنز  
Word,w1,Surveillance,نگرانی  
Word,w1,Survival,بقا / زندہ رہنے کی شرح  
Word,w17,Sweden,سویڈن  
Word,w5,Systemic Chemotherapy,سسٹمک  کیمیائی علاج  
Word,w48,Systemic Therapy,سسٹمک علاج  
Word,w23,Systemic disease,سسٹمک بیماری  
Word,w21,T3 invasion,T3 حملہ  
Word,w37,T4 (extension),T4 (توسیع)  
Word,w13,T4 disease,T4 بیماری  
Word,w28,Testing Interval,ٹیسٹنگ وقفہ  
Word,w6,Thermography,تھرموگرافی  
Word,w24,Third-line chemotherapy,تھرڈ لائن  کیمیائی علاج  
Word,w4,Topotecan,ٹوپوٹیکن  
Word,w10,Transarterial chemoembolization,ٹرانس آرٹیریل  کیمیائی ایمبولائزیشن  
Word,w18,Trastuzumab,ٹراسٹوزوماب  
Word,w15,Treatment Options,علاج کے اختیارات  
Word,w22,Treatment Toxicity,علاج کا زہریلا پن  
Word,w22,Treatment-related factors,علاج سے متعلقہ عوامل  
Word,w3,Treatments,علاج  
Word,w9,Tubular,نلی دار  
Word,w15,Tubulovillous,نلکی و پُرزیہ دار
Word,w23,Tumor Characteristics,رسولی کی خصوصیات
Word,w3,Tumor Location,رسولی کا مقام  
Word,w23,Tumor Location,رسولی کا مقام  
Word,w30,Tumor size,رسولی کا سائز  
Word,w26,Typical carcinoid,عام کارسینوائڈ  
Word,w5,Tyrosinemia,ٹائروسینیمیا  
Word,w11,Ultrasonography,الٹراسونوگرافی  
Word,w35,Unclassified carcinoma,غیر درجہ بند کارسینوما  
Word,w24,Undifferentiated carcinoma,غیر متعین کارسینوما  
Word,w24,United Kingdom,برطانیہ  
Word,w15,United States,ریاستہائے متحدہ  
Word,w10,Unknown,نامعلوم  
Word,w20,Unrehydrated: 1.0%,ان ری ہائیڈریٹڈ: 1.0%  
Word,w31,Unrehydrated: 1.9%,ان ری ہائیڈریٹڈ: 1.9%  
Word,w26,Unrehydrated: 2.1%,ان ری ہائیڈریٹڈ: 2.1%  
Word,w29,Unrehydrated: 2.4%,ان ری ہائیڈریٹڈ: 2.4%  
Word,w39,Unresectable disease,غیر قابل سرجری بیماری  
Word,w6,Unusual,غیر معمولی  
Word,w7,"Upper, middle","اوپر، درمیان"  
Word,w20,Uterine cancer,بچہ دانی کا سرطان  
Word,w6,VTE,وی ٹی ای (وینس تھرومبوایمبولزم)  
Word,w9,Variants,ورژنز/متبادل شکلیں  
Word,w42,Vascular invasion,واسکولر حملہ  
Word,w12,Vascular involvement,واسکولر ملوثیت  
Word,w15,Vasomotor symptoms,واسوموٹر علامات  
Word,w7,Villous,ولس  
Word,w4,Vitamins,وٹامنز  
Word,w8,Weakness,کمزوری  
Word,w21,Weight gain,وزن میں اضافہ  
Word,w18,Weight loss,وزن میں کمی  
Word,w10,Western Africa,مغربی افریقہ  
Word,w24,Young women,جوان خواتین  
Word,w8,cancer prevention,سرطان کی روک تھام  
Word,w32,childhood hepatoblastoma,بچپن کا ہیپاٹوبلاسٹوما  
Word,w11,colon cancer,قولون سرطان  
Word,w13,drinking water,پینے کا پانی  
Word,w19,extensive-stage SCLC,وسیع مرحلے کا ایس سی ایل سی  
Word,w43,grade 1,گریڈ 1  
Word,w49,grade 1–2,گریڈ 1–2  
Word,w55,grade 2–3,گریڈ 2–3  
Word,w13,limited-stage SCLC,محدود مرحلے کا ایس سی ایل سی  
Word,w26,mTOR Inhibitors,ایم ٹی او آر انہیبیٹرز  
Word,w53,metastatic cancer,میٹاسٹیٹک سرطان  
Word,w4,negative,منفی  
Word,w30,occult NSCLC,پوشیدہ این ایس سی ایل سی  
Word,w12,positive,مثبت  
Word,w16,rectal cancer,مستقیمی سرطان  
Word,w36,recurrent NSCLC,بار بار ہونے والا این ایس سی ایل سی  
Phrase,p1,Rofecoxib 25 mg/qd,روفی کوکسیب 25 ملی گرام/روزانہ  
Phrase,p2,Chemoprevention sporadic adenoma, کیمیائی پریوینشن اتفاقی غدودی رسولی  
Phrase,p3,Nonsteroidal anti-inflammatory drugs,نان اسٹیرایڈل سوزش کی دوائیں  
Phrase,p4,Definition of prevention,روک تھام کی تعریف  
Phrase,p5,Use of statins,سٹیٹنز کا استعمال  
Phrase,p6,External Validity: N/A,خارجی توثیق: لاگو نہیں  
Phrase,p7,Excessive alcohol use,ضرورت سے زیادہ شراب کا استعمال  
Phrase,p8,Risk increases with age,خطرہ عمر کے ساتھ بڑھتا ہے  
Phrase,p9,Naproxen seemed least harmful,نیپروکسن سب سے کم نقصان دہ لگا  
Phrase,p10,Study Design: Cohort studies,مطالعہ کا ڈیزائن: کوہورٹ مطالعہ  
Phrase,p11,Postmenopausal female hormone supplements,پوسٹ مینوپازل خواتین کے ہارمون تکمیلات  
Phrase,p12,RCTs have been consistent,آر سی ٹیز مسلسل رہے ہیں  
Phrase,p13,Colorectal Cancer (PDQ®): Prevention,قولون و مستقیمی سرطان (PDQ®): روک تھام  
Phrase,p14,Who is at Risk,خطرے میں کون ہے  
Phrase,p15,Study Design: Evidence from RCTs,مطالعہ کا ڈیزائن: آر سی ٹیز سے شواہد  
Phrase,p16,Hormone therapy (estrogen plus progestin),ہارمون علاج (ایسٹروجن + پروجیسٹرون)  
Phrase,p17,Internal Validity: Not applicable (N/A),(N/A) داخلی توثیق: لاگو نہیں   
Phrase,p18,Nested case-control study all users,گنجان شدہ کیس کنٹرول مطالعہ (تمام صارفین)  
Phrase,p19,"Dietary fiber, vegetables, and fruit","غذائی ریشہ، سبزیاں اور پھل"  
Phrase,p20,Study Design: Cohort and RCTs,مطالعہ کا ڈیزائن: کوہورٹ اور آر سی ٹیز  
Phrase,p21,Dietary fat and meat intake,غذائی چربی اور گوشت کا استعمال  
Phrase,p22,Validity of dietary questionnaires used,غذائی سوالناموں کی توثیق  
Phrase,p23,Study Design: Large cohort studies,مطالعہ کا ڈیزائن: بڑے کوہورٹ مطالعہ  
Phrase,p24,Study Design: Meta-analyses of RCTs,مطالعہ کا ڈیزائن: آر سی ٹیز کا میٹا تجزیہ  
Phrase,p25,Study Design: One-hundred six observational studies,مطالعہ کا ڈیزائن: 106 مشاہداتی مطالعہ  
Phrase,p26,Etiology and pathogenesis of colorectal cancer,قولون و مستقیمی سرطان کی اسباب اور بیماری کی تشکیل  
Phrase,p27,Study Design: Cohort studies and meta-analysis,مطالعہ کا ڈیزائن: کوہورٹ مطالعہ اور میٹا تجزیہ  
Phrase,p28,Study Design: One randomized controlled trial,مطالعہ کا ڈیزائن: ایک رینڈمائزڈ کنٹرول تجربہ  
Phrase,p29,Rofecoxib <25 mg/qd; rofecoxib >25 mg/qd,روفی کوکسیب <25 ملی گرام/روزانہ؛ روفی کوکسیب >25 ملی گرام/روزانہ  
Phrase,p30,"Sporadic adenoma prevention trial (N = 2035)",(N = 2035) اتفاقی غدودی رسولی کی روک تھام تجربہ   
Phrase,p31,Study Design: Evidence obtained from large databases,مطالعہ کا ڈیزائن: بڑے ڈیٹا بیس سے حاصل شواہد  
Phrase,p32,The overall 5-year survival rate is 64%,کل 5 سالہ بقا کی شرح 64% ہے  
Phrase,p33,Study Design: Evidence from retrospective cohort studies,مطالعہ کا ڈیزائن: ریٹروسپیکٹو کوہورٹ مطالعہ سے شواہد  
Phrase,p34,Celecoxib 200 mg/qd vs 400 mg bid,سیلیکوکسیب 200 ملی گرام/روزانہ بمقابلہ 400 ملی گرام/دن میں دو بار  
Phrase,p35,"External Validity: Good, data from national databases","خارجی توثیق: اچھی، قومی ڈیٹا بیس سے ڈیٹا"  
Phrase,p36,Study Design: Extended follow-up of four RCTs, مطالعہ کا ڈیزائن: چار آر سی ٹیز کا توسیعی پیروی    
Phrase,p37,The analysis did not include fiber supplements,تجزیہ میں ریشہ تکمیلات شامل نہیں تھے  
Phrase,p1,Arm B: fluoropyrimidine/oxaliplatin/cetuximab,بازو بی: فلوروپیریمڈین/آکسیلی پلاٹینم/سیٹکسماب  
Phrase,p2,Endocavitary radiation therapy,اینڈوکیوٹری ریڈی ایشن علاج  
Phrase,p3,Definitions of TNM,کی تعریفات TNM
Phrase,p4,Gastrointestinal stromal tumor,معدہ و آنت کا سٹرومل رسولی  
Phrase,p5,Arm A: fluoropyrimidine/oxaliplatin,بازو اے: فلوروپیریمڈین/آکسیلی پلاٹینم  
Phrase,p6,Incidence and Mortality,واقعات اور اموات  
Phrase,p7,Local radiation therapy,مقامی ریڈی ایشن علاج  
